Rank,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
1,Hong Kong,38.61,2.06,2.08,48.52,48.14,239.67,0.42
2,China,27.4,1.73,2.18,57.81,45.82,219.29,0.46
3,Thailand,25.95,3.97,3.38,25.2,29.57,226.1,0.44
4,Vietnam,23.39,4.4,6.75,22.73,14.82,251.2,0.4
5,Singapore,22.18,2.45,3.19,40.87,31.39,138.67,0.72
6,Algeria,22.04,2.54,2.84,39.39,35.15,179.7,0.56
7,Azerbaijan,21.14,5.44,5.34,18.37,18.73,248.37,0.4
8,Ukraine,19.92,5.91,6.58,16.93,15.19,425.59,0.23
9,Uruguay,19.44,4.7,4.37,21.27,22.88,201.23,0.5
10,Peru,19.19,5.3,5.11,18.87,19.58,237.08,0.42
11,Colombia,18.27,4.38,4.45,22.84,22.47,268.28,0.37
12,Serbia,18,3.03,3.26,33.05,30.65,140.3,0.71
13,Belarus,17.95,5.11,4.73,19.57,21.15,508.34,0.2
14,Philippines,17.18,3.83,3.59,26.12,27.88,164.35,0.61
15,Brazil,17.04,3.92,4.08,25.54,24.51,224.51,0.45
16,Albania,15.12,3.91,4.93,25.56,20.27,138.87,0.72
17,Moldova,14.95,6.44,6.76,15.54,14.79,213.26,0.47
18,Montenegro,14.47,3.73,3.94,26.8,25.35,149.35,0.67
19,South Korea,14.28,1.83,2.05,54.74,48.82,98.67,1.01
20,Lebanon,14.24,5.16,5.95,19.37,16.8,128.96,0.78
21,Morocco,13.93,5.16,4.9,19.37,20.42,115.74,0.86
22,Macedonia,13.88,3.8,3.67,26.29,27.22,126.06,0.79
23,Georgia,13.88,7.24,7.55,13.82,13.24,177.77,0.56
24,Taiwan,13.83,1.46,1.78,68.42,56.33,84.69,1.18
25,Lithuania,13.79,3.82,4.16,26.21,24.06,85.23,1.17
26,Panama,13.52,9.06,8.59,11.03,11.65,110.73,0.9
27,Israel,13.43,2.64,2.92,37.91,34.26,89.61,1.12
28,Ecuador,13.3,5.54,4.9,18.04,20.41,160.67,0.62
29,Japan,13.27,1.94,2.53,51.64,39.52,75.09,1.33
30,Kosovo (Disputed Territory),13.13,3.57,5.04,28.04,19.83,114.12,0.88
31,Indonesia,13.01,4.6,4.87,21.75,20.52,135.91,0.74
32,Tunisia,12.98,4.12,5.05,24.27,19.79,119.16,0.84
33,Armenia,12.91,6.48,5.06,15.43,19.77,182.9,0.55
34,Iran,12.9,6.5,8.25,15.4,12.12,242.79,0.41
35,Dominican Republic,12.85,7.17,6.76,13.94,14.78,172.7,0.58
36,Russia,12.44,5.87,6.27,17.04,15.94,173.62,0.58
37,Chile,12.38,4.27,4.49,23.4,22.28,96.51,1.04
38,Hungary,12.36,4.99,5.68,20.05,17.59,108.81,0.92
39,Luxembourg,12.14,3.86,3.78,25.91,26.47,73.45,1.36
40,Bangladesh,11.96,3.54,3.2,28.26,31.29,156.9,0.64
41,Pakistan,11.82,4.42,3.93,22.61,25.42,152.26,0.66
42,Argentina,11.79,4,4.05,25.02,24.71,321.97,0.31
43,Egypt,11.67,7.11,6.94,14.07,14.4,180.85,0.55
44,Kazakhstan,11.65,6.69,6.22,14.96,16.08,207.68,0.48
45,Sweden,11.58,2.45,3.2,40.9,31.27,69.59,1.44
46,Czech Republic,11.43,4,4.57,24.98,21.89,69.3,1.44
47,Bosnia And Herzegovina,11.36,3.43,3.28,29.12,30.53,104.44,0.96
48,United Kingdom,11.1,3.38,4.06,29.55,24.62,75.83,1.32
49,Croatia,10.79,3.43,3.74,29.17,26.76,87.52,1.14
50,Switzerland,10.42,2.76,3.02,36.17,33.13,60.25,1.66
51,Italy,10.42,3.45,4.16,28.94,24.03,69.16,1.45
52,India,9.88,3.14,3.77,31.83,26.54,116.73,0.86
53,Poland,9.83,4.73,5.23,21.16,19.12,70.19,1.42
54,Slovakia,9.73,5.6,5.73,17.84,17.46,59.75,1.67
55,Bolivia,9.66,6.31,6.89,15.86,14.51,88.48,1.13
56,Estonia,9.65,4.27,4.13,23.42,24.21,61.39,1.63
57,Malaysia,9.54,3.87,4.18,25.83,23.93,72.82,1.37
58,Latvia,9.48,5.37,5.41,18.61,18.48,62.62,1.6
59,Austria,9.45,3.54,3.84,28.22,26.07,57.84,1.73
60,Turkey,9.41,5.2,5.86,19.24,17.08,126.69,0.79
61,Malta,9.29,5.61,6.83,17.84,14.64,65.8,1.52
62,France,9.28,3.29,3.9,30.39,25.67,58.15,1.72
63,Portugal,9.24,5.69,6.22,17.58,16.07,61.83,1.62
64,Costa Rica,8.89,6.97,6.92,14.35,14.44,107.73,0.93
65,Romania,8.79,4.93,4.86,20.29,20.59,61.13,1.64
66,Bulgaria,8.77,5.3,5.66,18.88,17.67,72.11,1.39
67,Norway,8.58,3.8,4.26,26.35,23.45,55.22,1.81
68,Greece,8.54,4.16,4.21,24.06,23.75,64.53,1.55
69,Iraq,8.33,7,7.97,14.29,12.55,107.23,0.93
70,Slovenia,8.17,4.35,4.3,23.01,23.28,57.4,1.74
71,Spain,7.9,4.62,5.49,21.65,18.21,49.59,2.02
72,Germany,7.82,3.65,4.03,27.43,24.82,47.7,2.1
73,Finland,7.61,3.73,4.5,26.82,22.22,44.34,2.26
74,Australia,7.57,4.74,5.17,21.11,19.34,57.37,1.74
75,Jordan,7.33,7.17,8.16,13.94,12.26,72.03,1.39
76,Iceland,7.31,6.71,7.58,14.89,13.19,66.84,1.5
77,Denmark,7.26,4.61,5.05,21.71,19.8,45.79,2.18
78,Belgium,7.23,5.53,5.68,18.07,17.6,46.23,2.16
79,Ireland,7.13,6.31,6.87,15.84,14.55,51.43,1.94
80,Mexico,7.04,6.93,6.3,14.43,15.87,87.3,1.15
81,New Zealand,7.03,5.26,5.49,19,18.22,55.28,1.81
82,Netherlands,6.71,5.54,6.23,18.04,16.04,43.33,2.31
83,Canada,6.36,5.32,5.96,18.78,16.78,41.76,2.39
84,Palestinian Territory,6.13,6.43,6.45,15.56,15.49,55.78,1.79
85,United Arab Emirates,5.2,10.29,10.6,9.71,9.43,38.6,2.59
86,Cyprus,5.11,5.08,5.31,19.68,18.83,38.76,2.58
87,Puerto Rico,4.31,6.76,7.2,14.8,13.89,33.72,2.97
88,South Africa,3.64,9.76,10.47,10.24,9.55,43.19,2.32
89,United States,3.12,11.08,12.06,9.03,8.29,22.56,4.43
90,Saudi Arabia,2.84,7.46,8.35,13.4,11.97,20.84,4.8
